"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
3.03719959835048e-280	5.52962974518721	0.453	0.584	5.3952813665098e-276	"CC07"	"OAS1"
3.98357819691059e-280	7.26590647027358	0.707	0.817	7.07642830899198e-276	"CC07"	"CAP1"
1.39168109072274e-279	1.42175738828827	0.372	0.513	2.47218228955987e-275	"CC07"	"COPB1"
2.79836348297546e-278	6.68297061899793	0.528	0.647	4.97101289115761e-274	"CC07"	"PIM3"
5.36721118960233e-277	4.11181129255891	0.39	0.52	9.53431395720957e-273	"CC07"	"ARHGAP26"
5.62349780341806e-273	21.3449780403934	0.786	0.714	9.98958149799184e-269	"CC07"	"FBN1"
3.91713889150877e-272	1.41674782713073	0.756	0.85	6.95840552687617e-268	"CC07"	"CCNL2"
7.07206775627685e-272	110.820303715264	0.356	0.479	1.25628211622502e-267	"CC07"	"CCL20"
1.87634784518864e-271	Inf	0.994	0.992	3.33314431219309e-267	"CC07"	"COL3A1"
4.92256024453236e-270	1.25733720894295	0.478	0.607	8.74443601838729e-266	"CC07"	"BCL3"
4.2528172031537e-269	17.1315559316608	0.793	0.72	7.55470447968223e-265	"CC07"	"PDGFRB"
1.46832382588006e-268	6.92611780285745	0.667	0.772	2.60833044429334e-264	"CC07"	"SAR1A"
1.76153056507955e-266	12.7264854620221	0.402	0.533	3.12918289580731e-262	"CC07"	"LY6D"
1.58167383167608e-264	3.57393775919993	0.734	0.839	2.80968539458939e-260	"CC07"	"AP2S1"
4.16351308443099e-263	3.10745274220068	0.325	0.462	7.39606464318321e-259	"CC07"	"PNMA2"
1.36825376008365e-262	1.2578615049973	0.501	0.63	2.43056597941259e-258	"CC07"	"CWC15"
1.15461733785153e-261	2.72097720766708	0.633	0.748	2.05106223895945e-257	"CC07"	"TCIRG1"
3.40063720424349e-261	5.34172085978918	0.391	0.531	6.04089192961814e-257	"CC07"	"SLC5A3"
2.68844901686966e-260	7.8674167079366	0.43	0.567	4.77576083356727e-256	"CC07"	"PSMA3"
5.65132484432723e-260	2.06642455682653	0.363	0.505	1.00390134534629e-255	"CC07"	"SPTSSA"
1.08225688236316e-258	5.00676952789467	0.751	0.85	1.92252112582992e-254	"CC07"	"NUCB1"
1.2151328002947e-256	1.14764227292153	0.34	0.476	2.1585619064435e-252	"CC07"	"MAFK"
2.34701296746563e-256	0.624699942373814	0.462	0.596	4.16923383540594e-252	"CC07"	"RBM8A"
3.89624795068824e-256	0.51024991059719	0.425	0.565	6.92129485960259e-252	"CC07"	"ATF2"
8.35884750100587e-256	0.51030161945805	0.367	0.502	1.48486567007868e-251	"CC07"	"PAM16"
1.06560620012196e-252	2.44380495093582	0.693	0.793	1.89294285389665e-248	"CC07"	"NFE2L1"
2.72711858675506e-251	14.2617576899455	0.658	0.56	4.84445345751169e-247	"CC07"	"EMILIN1"
6.15520123810942e-251	2.54821497897349	0.371	0.508	1.09340994793776e-246	"CC07"	"ATP13A3"
6.83960555204686e-251	7.00878119418346	0.673	0.789	1.2149875302656e-246	"CC07"	"FKBP9"
2.60985689653941e-250	0.22145923313977	0.55	0.671	4.63614979101261e-246	"CC07"	"SLC44A1"
6.14695664740771e-250	3.09884668697321	0.611	0.73	1.09194537884551e-245	"CC07"	"PJA2"
7.70698032688667e-249	1.31959941694378	0.566	0.682	1.36906798526815e-244	"CC07"	"ARHGAP18"
5.53012168024896e-246	1.04339647805065	0.627	0.746	9.82370815279425e-242	"CC07"	"C11orf58"
1.31519266271181e-245	0.282839062869331	0.333	0.463	2.33630824604126e-241	"CC07"	"CMTM7"
9.96139936231951e-245	11.2493849238966	0.793	0.878	1.76954298272244e-240	"CC07"	"GNAI2"
3.41532255083962e-242	2.61684859536038	0.965	0.99	6.0669789793115e-238	"CC07"	"PFN1"
3.78591113584394e-241	0.953250294813804	0.456	0.584	6.72529254171318e-237	"CC07"	"CLIP1"
4.37566178853743e-240	0.272267840735023	0.328	0.46	7.77292560115788e-236	"CC07"	"RAB11FIP5"
2.97203868659069e-239	0.669987524215019	0.462	0.59	5.2795295228597e-235	"CC07"	"ATP6V1E1"
6.27626318595944e-239	0.203113438112549	0.754	0.846	1.11491539235384e-234	"CC07"	"UBXN6"
1.20946115913695e-238	24.5442907750013	0.756	0.688	2.14848680309087e-234	"CC07"	"C1S"
1.47236452834526e-238	0.372478417019476	0.727	0.822	2.61550834815253e-234	"CC07"	"GRINA"
4.89899497899714e-235	2.62738952519059	0.485	0.612	8.70257468069051e-231	"CC07"	"SCAF11"
1.93658018622715e-234	2.55226545033373	0.423	0.553	3.4401410428139e-230	"CC07"	"DTX3L"
5.35246609381449e-234	12.5880266284225	0.607	0.51	9.50812076905205e-230	"CC07"	"FBLN1"
1.28475233241229e-232	2.37506580756955	0.589	0.709	2.28223404329718e-228	"CC07"	"IRF9"
1.65588504015477e-232	1.49436167786654	0.21	0.332	2.94151418533094e-228	"CC07"	"PRICKLE4"
1.74696239629965e-232	0.615036366553079	0.516	0.64	3.10330400078671e-228	"CC07"	"SF1"
1.80257254517269e-231	3.42955344262533	0.759	0.852	3.20208986924476e-227	"CC07"	"DRAP1"
4.38335635465305e-231	1.32614933769459	0.397	0.529	7.78659422840568e-227	"CC07"	"SNX6"
6.44961655461615e-231	6.45537622275118	0.487	0.607	1.14570988476201e-226	"CC07"	"ISG20"
1.51420759006604e-228	0.493630428153217	0.262	0.387	2.68983836299332e-224	"CC07"	"POLB"
5.28166450214252e-228	1.87436085962131	0.767	0.857	9.38234882160597e-224	"CC07"	"ZYX"
1.16302718443419e-227	0.852226291922487	0.283	0.409	2.06600149042889e-223	"CC07"	"CDC73"
1.19768972999285e-227	0.746956169799494	0.48	0.605	2.12757603635929e-223	"CC07"	"LEPROT"
3.17619583311298e-226	9.84133905340633	0.91	0.949	5.64219427794189e-222	"CC07"	"IFITM2"
6.87071081442071e-226	1.6310157008335	0.611	0.722	1.2205130690737e-221	"CC07"	"MAX"
1.29113514580856e-225	2.00125303809083	0.406	0.536	2.29357247301433e-221	"CC07"	"EIF2AK2"
1.02031162000329e-224	1.31815928401037	0.478	0.601	1.81248156177384e-220	"CC07"	"STX16"
6.73111535796921e-224	0.438289119372397	0.406	0.534	1.19571533218965e-219	"CC07"	"GDE1"
1.39422006035777e-223	17.306178608449	0.863	0.931	2.47669251521954e-219	"CC07"	"CTSZ"
6.06809268874313e-223	5.44787993870177	0.489	0.613	1.07793598522833e-218	"CC07"	"DCTN2"
2.30141775553018e-222	0.632892291429374	0.466	0.591	4.0882385009238e-218	"CC07"	"MARK3"
1.05728321560894e-220	58.280927262439	0.867	0.843	1.87815790420772e-216	"CC07"	"LAPTM5"
1.30237348118359e-220	30.1540335431699	0.66	0.769	2.31353625197453e-216	"CC07"	"CDKN1A"
2.08471933751423e-220	3.70369212473786	0.712	0.811	3.70329543116029e-216	"CC07"	"SRSF11"
3.33787220335644e-220	17.244012628824	0.932	0.972	5.92939618204237e-216	"CC07"	"MYH9"
3.51849561561475e-220	1.92918144083307	0.623	0.736	6.25025561157804e-216	"CC07"	"RAP1A"
5.54892311258132e-220	0.713602716288147	0.439	0.561	9.85710701718945e-216	"CC07"	"ARFGAP1"
3.82176280808963e-219	1.15370122125758	0.409	0.535	6.78897945229043e-215	"CC07"	"BOK"
1.15929536210423e-218	18.3917372864471	0.159	0.268	2.05937228124195e-214	"CC07"	"SLC34A2"
1.2651450318914e-218	5.37822121583693	0.197	0.313	2.24740363465188e-214	"CC07"	"RTKN2"
1.9252465605226e-218	0.308253660105535	0.387	0.513	3.42000799011235e-214	"CC07"	"EMC7"
5.53457175626186e-218	62.906178287351	0.771	0.718	9.83161326782357e-214	"CC07"	"HLA-DPB1"
1.1520835478185e-217	216.146729900525	0.41	0.514	2.04656121434478e-213	"CC07"	"TCN1"
9.46798526378913e-217	3.40285298165525	0.823	0.896	1.6818929022595e-212	"CC07"	"OS9"
2.65656394167796e-215	1.13965647336759	0.65	0.753	4.71912018599673e-211	"CC07"	"FOXP1"
4.6755046531831e-214	Inf	0.994	0.994	8.30556646591446e-210	"CC07"	"COL1A2"
1.0139003294529e-212	0.671370800081082	0.399	0.52	1.80109254524013e-208	"CC07"	"TBRG1"
1.05569012597855e-212	16.4741303972437	0.244	0.357	1.8753279397883e-208	"CC07"	"ONECUT2"
3.4963042138128e-212	3.69074696709642	0.518	0.644	6.21083480541705e-208	"CC07"	"STX7"
4.92086832162273e-211	34.5644550870155	0.442	0.565	8.74143048653061e-207	"CC07"	"TNS4"
3.48951854032053e-210	0.689698280154825	0.604	0.713	6.19878073502539e-206	"CC07"	"H2AFV"
1.42890331544065e-209	8.78659822064897	0.569	0.683	2.53830384954877e-205	"CC07"	"KPNB1"
3.15588056825599e-208	0.608499866408754	0.275	0.395	5.60610624144994e-204	"CC07"	"PARP12"
2.74458378778464e-206	2.04043778441284	0.606	0.721	4.87547864062063e-202	"CC07"	"ATXN10"
1.9412228284154e-205	1.96661922523832	0.278	0.398	3.44838823239712e-201	"CC07"	"BICD1"
8.26278324032409e-205	0.311042041856752	0.291	0.412	1.46780081481117e-200	"CC07"	"BCAP29"
1.45987163754069e-204	1.40284655796521	0.334	0.456	2.59331597692729e-200	"CC07"	"KLHL21"
1.40073746912458e-203	2.27602239895702	0.365	0.489	2.48827004015291e-199	"CC07"	"FNBP4"
3.5536541874539e-203	2.61478970232482	0.621	0.726	6.31271129859311e-199	"CC07"	"PABPC4"
2.11662623123405e-202	0.452626038988751	0.324	0.447	3.75997483716417e-198	"CC07"	"ATF7"
6.50031417101839e-202	0.746770973790456	0.359	0.482	1.15471580933971e-197	"CC07"	"PODXL"
7.57372133029675e-201	1.71991394030321	0.364	0.247	1.34539585711392e-196	"CC07"	"BOC"
7.14851640685336e-200	1.13059715320784	0.315	0.435	1.26986245451343e-195	"CC07"	"PARP9"
7.81442569648966e-199	2.56613963038126	0.76	0.846	1.38815458072442e-194	"CC07"	"CTDSP2"
1.66601554888067e-198	0.209150856252819	0.221	0.335	2.95951002103162e-194	"CC07"	"CACNB3"
1.6880679777753e-198	5.54443859201319	0.393	0.514	2.99868395572005e-194	"CC07"	"SPRED1"
3.27622618807769e-197	1.01136135895437	0.378	0.499	5.81988820050121e-193	"CC07"	"SLFN5"
5.79576113119896e-197	4.86818291882595	0.51	0.63	1.02955900734618e-192	"CC07"	"LAMP2"
6.95482006255239e-197	1.24253418552642	0.494	0.615	1.23545423591181e-192	"CC07"	"DVL3"
1.00226748370282e-196	0.235811473502829	0.377	0.497	1.78042795804968e-192	"CC07"	"INTS1"
2.16189673062613e-196	90.6055008163978	0.924	0.921	3.84039335228426e-192	"CC07"	"COL6A3"
6.64698146912418e-196	1.98376093874175	0.274	0.392	1.18076978817522e-191	"CC07"	"CIR1"
1.38990643012691e-194	16.1348937012672	0.779	0.729	2.46902978247745e-190	"CC07"	"TYROBP"
3.93514917173787e-194	1.3241604957885	0.32	0.211	6.99039898867515e-190	"CC07"	"HLA-DOA"
2.38411921227615e-193	0.603817010972438	0.515	0.63	4.23514936868735e-189	"CC07"	"SNX1"
1.26231478680219e-192	16.3750562552718	0.68	0.788	2.24237598727541e-188	"CC07"	"HLA-F"
1.36312666802607e-192	0.212405263102316	0.456	0.575	2.4214582130815e-188	"CC07"	"DCBLD1"
3.16509018434883e-192	3.12244354232754	0.421	0.544	5.62246620347726e-188	"CC07"	"CITED4"
1.57709473776336e-190	7.33568662680546	0.498	0.612	2.80155109216282e-186	"CC07"	"PCM1"
1.91525171755738e-190	31.4817614024024	0.397	0.473	3.40225315106893e-186	"CC07"	"TFF3"
4.02846502000876e-189	50.285293227698	0.772	0.72	7.15616526154356e-185	"CC07"	"C1QB"
5.10639714067704e-189	8.16679680152462	0.647	0.755	9.0710038806987e-185	"CC07"	"CALU"
1.19653184795467e-188	0.822873340802982	0.462	0.579	2.12551917470667e-184	"CC07"	"PACS2"
1.65227255250465e-188	14.1142836116016	0.346	0.46	2.93509696226925e-184	"CC07"	"ARRDC2"
1.93107577675506e-188	25.4310119263601	0.65	0.558	3.43036300982769e-184	"CC07"	"PCOLCE"
1.22529630358548e-187	32.5510345864899	0.729	0.667	2.17661635368925e-183	"CC07"	"C1QC"
1.5741218333592e-187	6.19311391426624	0.563	0.672	2.79627002477927e-183	"CC07"	"ST5"
9.64872205116536e-187	1.15402607164764	0.341	0.458	1.71399898516901e-182	"CC07"	"SRP54"
1.13627231198649e-186	8.26079782706595	0.415	0.532	2.01847413501281e-182	"CC07"	"PARP14"
1.3967490335136e-184	3.51185147742101	0.413	0.527	2.48118498313356e-180	"CC07"	"VAMP3"
