orig.ident	CompositionCluster_CC	cell_type	median_ct_prop
S20-3289-A3	CC4	Normal_epithelium	9.34893076349217e-05
S20-3289-A3	CC4	PVL	0.0183692895332573
S20-3289-A3	CC4	SPP1_TAMs	0.000139337063818752
S20-3289-A3	CC4	Tregs	0.0121006422259961
S20-3289-A3	CC4	Tumor_epithelium	0.642392250040032
S20-3289-A3	CC4	iCAF	0.00166406096638521
S20-3289-A3	CC4	mast_cells	9.48913106646803e-05
S20-3289-A3	CC4	myCAF	0.159992307022246
S20-3289-A3	CC5	Bcell	0.000650763638868591
S20-3289-A3	CC5	C1Q_TAMs	0.07671259839342
S20-3289-A3	CC5	CD4_conv	0.00305064518308509
S20-3289-A3	CC5	CD8_NK	0.00115402533643675
S20-3289-A3	CC5	Dendritic_cells	0.00828901880673963
S20-3289-A3	CC5	Endothelial	0.0413726179675157
S20-3289-A3	CC5	FCN1_TAMs	9.12029249547809e-05
S20-3289-A3	CC5	Normal_epithelium	9.03801354347974e-05
S20-3289-A3	CC5	PVL	0.028314272068196
S20-3289-A3	CC5	SPP1_TAMs	0.00056039061797079
S20-3289-A3	CC5	Tregs	0.0178706535679415
S20-3289-A3	CC5	Tumor_epithelium	0.413361535605108
S20-3289-A3	CC5	iCAF	0.00519265294894486
S20-3289-A3	CC5	mast_cells	0.000135093711082197
S20-3289-A3	CC5	myCAF	0.272770748814166
S20-3289-A3	CC6	Bcell	0.0243262956252137
S20-3289-A3	CC6	C1Q_TAMs	0.0687657936897829
S20-3289-A3	CC6	CD4_conv	0.00023225820089415
S20-3289-A3	CC6	CD8_NK	9.76202096789661e-05
S20-3289-A3	CC6	Dendritic_cells	0.0106639835992018
S20-3289-A3	CC6	Endothelial	0.0430220300250347
S20-3289-A3	CC6	FCN1_TAMs	0.00248282581923034
S20-3289-A3	CC6	Normal_epithelium	5.953130641033e-05
S20-3289-A3	CC6	PVL	0.016867927125794
S20-3289-A3	CC6	SPP1_TAMs	8.95952636066971e-05
S20-3289-A3	CC6	Tregs	0.0190250635707016
S20-3289-A3	CC6	Tumor_epithelium	0.0193584715645788
S20-3289-A3	CC6	iCAF	0.0975493871033745
S20-3289-A3	CC6	mast_cells	0.000163691614688627
S20-3289-A3	CC6	myCAF	0.525912084167621
S20-3289-A3	CC7	Bcell	0.0498102431352019
S20-3289-A3	CC7	C1Q_TAMs	0.0451423565685683
S20-3289-A3	CC7	CD4_conv	7.85098408529359e-05
S20-3289-A3	CC7	CD8_NK	6.21212017063005e-05
S20-3289-A3	CC7	Dendritic_cells	7.16226107188507e-05
S20-3289-A3	CC7	Endothelial	0.0669850423266722
S20-3289-A3	CC7	FCN1_TAMs	8.16036041801552e-05
S20-3289-A3	CC7	Normal_epithelium	5.78819717565625e-05
S20-3289-A3	CC7	PVL	0.466569667572031
S20-3289-A3	CC7	SPP1_TAMs	5.75652816296099e-05
S20-3289-A3	CC7	Tregs	9.19212241818064e-05
S20-3289-A3	CC7	Tumor_epithelium	0.000162432331068284
S20-3289-A3	CC7	iCAF	0.0796277363782905
S20-3289-A3	CC7	mast_cells	0.00013922166268154
S20-3289-A3	CC7	myCAF	0.129031711310991
S20-3289-A3	CC8	Bcell	0.0682082558567318
S20-3289-A3	CC8	C1Q_TAMs	0.0645407992519028
S20-3289-A3	CC8	CD4_conv	0.0169217562117436
S20-3289-A3	CC8	CD8_NK	0.000143462916791276
S20-3289-A3	CC8	Dendritic_cells	0.0109815595883784
S20-3289-A3	CC8	Endothelial	0.0969854652066652
S20-3289-A3	CC8	FCN1_TAMs	0.000233503632463925
S20-3289-A3	CC8	Normal_epithelium	0.00011492366598541
S20-3289-A3	CC8	PVL	0.176679135020288
S20-3289-A3	CC8	SPP1_TAMs	0.000118700408641268
S20-3289-A3	CC8	Tregs	0.0128422525277683
S20-3289-A3	CC8	Tumor_epithelium	0.0221468542388501
S20-3289-A3	CC8	iCAF	0.0984244537837788
S20-3289-A3	CC8	mast_cells	0.00491519535061133
S20-3289-A3	CC8	myCAF	0.230492554285393
S20-3289-A3	CC9	Bcell	5.81713857734754e-05
S20-3289-A3	CC9	C1Q_TAMs	0.0101951850390157
S20-3289-A3	CC9	CD4_conv	7.43039049161582e-05
S20-3289-A3	CC9	CD8_NK	9.6309281248884e-05
S20-3289-A3	CC9	Dendritic_cells	6.69309275744044e-05
S20-3289-A3	CC9	Endothelial	0.0116040611048664
S20-3289-A3	CC9	FCN1_TAMs	0.00082478583409951
S20-3289-A3	CC9	Normal_epithelium	0.000101364409594696
S20-3289-A3	CC9	PVL	0.00401232325785209
S20-3289-A3	CC9	SPP1_TAMs	6.14231736784293e-05
S20-3289-A3	CC9	Tregs	0.00218117697008167
S20-3289-A3	CC9	Tumor_epithelium	0.904057255020894
S20-3289-A3	CC9	iCAF	0.000674567967608282
S20-3289-A3	CC9	mast_cells	6.09458750910002e-05
S20-3289-A3	CC9	myCAF	0.0282071509799533
S20-5578-A4	CC1	Bcell	0.292106084124637
S20-5578-A4	CC1	C1Q_TAMs	0.0442184191659837
S20-5578-A4	CC1	CD4_conv	0.00855097178158374
S20-5578-A4	CC1	CD8_NK	0.00926312296777582
S20-5578-A4	CC1	Dendritic_cells	0.0189041388154958
S20-5578-A4	CC1	Endothelial	0.0835641673016334
S20-5578-A4	CC1	FCN1_TAMs	0.00058361052554782
S20-5578-A4	CC1	Normal_epithelium	0.0261297183875224
S20-5578-A4	CC1	PVL	0.0256461110713307
S20-5578-A4	CC1	SPP1_TAMs	0.000236706521199663
S20-5578-A4	CC1	Tregs	0.0195266183427939
S20-5578-A4	CC1	Tumor_epithelium	0.000476550906930342
S20-5578-A4	CC1	iCAF	0.0749013488916852
S20-5578-A4	CC1	mast_cells	0.0112986962453443
