Genes	Subtype
Neat1	cCAF:Raghu_Kalluri
Igfbp7	cCAF:Raghu_Kalluri
Fkbp10	cCAF:Raghu_Kalluri
Tspan4	cCAF:Raghu_Kalluri
Nudt4	cCAF:Raghu_Kalluri
Colec12	cCAF:Raghu_Kalluri
Lrrc32	cCAF:Raghu_Kalluri
Slc6A6	cCAF:Raghu_Kalluri
Bmp1	cCAF:Raghu_Kalluri
Emp1	cCAF:Raghu_Kalluri
Cd63	cCAF:Raghu_Kalluri
Csrp2	cCAF:Raghu_Kalluri
Akr1B8	cCAF:Raghu_Kalluri
Cdh11	cCAF:Raghu_Kalluri
Wisp2	cCAF:Raghu_Kalluri
Hspb1	cCAF:Raghu_Kalluri
Slc25A5	cCAF:Raghu_Kalluri
Itgb1	cCAF:Raghu_Kalluri
Cyb5R3	cCAF:Raghu_Kalluri
Col15A1	cCAF:Raghu_Kalluri
Kdelr3	cCAF:Raghu_Kalluri
Luzp1	cCAF:Raghu_Kalluri
Ldha	cCAF:Raghu_Kalluri
Clmp	cCAF:Raghu_Kalluri
Thbs2	cCAF:Raghu_Kalluri
Ybx1	cCAF:Raghu_Kalluri
Sparcl1	cCAF:Raghu_Kalluri
Mmp2	cCAF:Raghu_Kalluri
Palld	cCAF:Raghu_Kalluri
Mdk	cCAF:Raghu_Kalluri
Tpm4	cCAF:Raghu_Kalluri
Eno1	cCAF:Raghu_Kalluri
Cd59A	cCAF:Raghu_Kalluri
Wnt2	cCAF:Raghu_Kalluri
Tpi1	cCAF:Raghu_Kalluri
Oaf	cCAF:Raghu_Kalluri
Bpgm	cCAF:Raghu_Kalluri
Ier3	cCAF:Raghu_Kalluri
Tnfrsf12A	cCAF:Raghu_Kalluri
Rab31	cCAF:Raghu_Kalluri
Erlec1	cCAF:Raghu_Kalluri
Rrbp1	cCAF:Raghu_Kalluri
Tpm2	cCAF:Raghu_Kalluri
Wnt4	cCAF:Raghu_Kalluri
Lrp1	cCAF:Raghu_Kalluri
Timp3	cCAF:Raghu_Kalluri
Adam19	cCAF:Raghu_Kalluri
Tceal9	cCAF:Raghu_Kalluri
Col5A1	cCAF:Raghu_Kalluri
Tmem176A	cCAF:Raghu_Kalluri
Hk2	cCAF:Raghu_Kalluri
Map1Lc3A	cCAF:Raghu_Kalluri
Emilin1	cCAF:Raghu_Kalluri
Rbp1	cCAF:Raghu_Kalluri
Fbn2	cCAF:Raghu_Kalluri
Mcfd2	cCAF:Raghu_Kalluri
Higd1A	cCAF:Raghu_Kalluri
Cdkn2A	cCAF:Raghu_Kalluri
Col4A2	cCAF:Raghu_Kalluri
Mettl9	cCAF:Raghu_Kalluri
Rgs16	cCAF:Raghu_Kalluri
Mtch1	cCAF:Raghu_Kalluri
Marcksl1	cCAF:Raghu_Kalluri
