Genes	Subtype
Slc2a1	Basal-like genes: elena Ferteg
Anxa8l2	Basal-like genes: elena Ferteg
Abcg2	cancer stem cell: elena Ferteg
Aldh1a1	cancer stem cell: elena Ferteg
Cd24	cancer stem cell: elena Ferteg
Cd44	cancer stem cell: elena Ferteg
Epcam	cancer stem cell: elena Ferteg
Prom1	cancer stem cell: elena Ferteg
Cxcr4	cancer stem cell: elena Ferteg
Nes	cancer stem cell: elena Ferteg
Dclk1	cancer stem cell: elena Ferteg
Sox9	cancer stem cell: elena Ferteg
Nanog	cancer stem cell: elena Ferteg
Our Paper	NULL
Epcam	Epithelial:Our paper
Krt8	Epithelial:Our paper
Krt18	Epithelial:Our paper
Col1a1	CAF-S1/myCAF:Our Paper
Cldn5	endothelial:Our Paper
Cd3d	T cells:Our Paper
Cd79a	B cells:Our Paper
Lyz	epi-mye:Our Paper
Fap	CAF-S1/myCAF:Our Paper
Pdpn	CAF-S1/myCAF:Our Paper
Pdgfra	CAF-S1:Our Paper
Col1a2	CAF-S1/myCAF:Our Paper
Cxcl12	CAF-S1/iCAF:Our Paper
Gjb	CAF-S1/ecm-myCAF:Our Paper
Antxr1	CAF-S1/ecm-myCAF:Our Paper
Sdc1	CAF-S1/ecm-myCAF:Our Paper
Sema3c	CAF-S1/wound-myCAF:Our Paper
Cd9	CAF-S1/wound-myCAF:Our Paper
Cst1	CAF-S1/TGFB-myCAF:Our Paper
Tgfb1	CAF-S1/TGFB-myCAF:Our Paper
Lamp5	CAF-S1/TGFB-myCAF:Our Paper
Scara5	CAF-S1/IL-iCAF:Our Paper
Dlk1	CAF-S1/IL-iCAF:Our Paper
Adh1b	CAF-S1/detox-iCAF:Our Paper
Gpc3	CAF-S1/detox-iCAF:Our Paper
Rgs5	CAF-S4:Our Paper
Cspg4	CAF-S4:Our Paper
Pdgfrb	CAF-S4:Our Paper
Cd248	CAF-S4:Our Paper
Epas1	CAF-S4:Our Paper
Cd1c	DC:Our Paper
C1qa	C!Q+TAM:Our Paper
C1qb	C!Q+TAM:Our Paper
Mrc1	TAM:Our Paper
S100a8	Monocytes:Our Paper
1l1b	Monocytes:Our Paper
S100a9	Monocytes:Our Paper
Apoe	TAM:Our Paper
Sepp1	TAM:Our Paper
Cd163	TAM:Our Paper
Fcgr3b	Monocytes:Our Paper
Foxp3	Tregs:Our Paper
Lag3	Tregs:Our Paper
Ctla4	Tregs:Our Paper
Pd-1	Tregs:Our Paper
Ccr7	Memory cell -t:Our Paper
Sell	Memory cell -t:Our Paper
Tcf7	Memory cell -t:Our Paper
Anxa1	Resting cells- T:Our Paper
Il7r	Resting cells- T:Our Paper
Lmna	Resting cells- T:Our Paper
Cxcl13	Acrtivated T:Our Paper
Gzmk	Cytotoxic T:Our Paper
Gzmb	Cytotoxic T:Our Paper
Ifng	Cytotoxic T:Our Paper
Prf1	Cytotoxic T:Our Paper
Ccl4	Cytotoxic T:Our Paper
Cxcl13	Activated:Our Paper
Lag3	exhaustion T:Our Paper
Havcr2	exhaustion T:Our Paper
Cd96	exhaustion T:Our Paper
Eomes	pre-dysfunctional:Our Paper
Klrg1	pre-dysfunctional:Our Paper
Adel's Paper	
Cfh	Squamous-like: Adel
Cd99	Squamous-like: Adel
Hecw1	Squamous-like: Adel
Plxnd1	Squamous-like: Adel
Recql	Squamous-like: Adel
C1orf112	Squamous-like: Adel
M6pr	Squamous-like: Adel
Fkbp4	Squamous-like: Adel
Ggct	Squamous-like: Adel
Dbf4	Squamous-like: Adel
Sema3f	Squamous-like: Adel
Ankib1	Squamous-like: Adel
Mad1l1	Squamous-like: Adel
Cdc27	Squamous-like: Adel
Wdr54	Squamous-like: Adel
Dpm1	Squamous-like: Adel
Nme2	Squamous-like: Adel
Utp18	Squamous-like: Adel
Slc25a39	Squamous-like: Adel
Ttc27	Squamous-like: Adel
Pancreatic Progenitor	
Enpp4	Pancreatic Progenitor:Adel
Cftr	Pancreatic Progenitor:Adel
Cyp51a1	Pancreatic Progenitor:Adel
Abp1	Pancreatic Progenitor:Adel
Lasp1	Pancreatic Progenitor:Adel
Tmem176a	Pancreatic Progenitor:Adel
Ica1	Pancreatic Progenitor:Adel
Dbndd1	Pancreatic Progenitor:Adel
Casp10	Pancreatic Progenitor:Adel
Sarm1	Pancreatic Progenitor:Adel
Upf1	Pancreatic Progenitor:Adel
Acsm3	Pancreatic Progenitor:Adel
Sppl2b	Pancreatic Progenitor:Adel
Pdk2	Pancreatic Progenitor:Adel
Osbpl7	Pancreatic Progenitor:Adel
Tmem98	Pancreatic Progenitor:Adel
Baiap2l1	Pancreatic Progenitor:Adel
Aldh3b1	Pancreatic Progenitor:Adel
Ttc22	Pancreatic Progenitor:Adel
Farp2	Pancreatic Progenitor:Adel
Quasi-mesanchymal	
Aim2	Quasi-Mesanchymal:Adel
Calhm6	Quasi-Mesanchymal:Adel
Gpm6b	Quasi-Mesanchymal:Adel
S100a2	Quasi-Mesanchymal:Adel
Krt14	Quasi-Mesanchymal:Adel
Cav1	Quasi-Mesanchymal:Adel
Lox	Quasi-Mesanchymal:Adel
Slc2a3	Quasi-Mesanchymal:Adel
Twist1	Quasi-Mesanchymal:Adel
Pappa	Quasi-Mesanchymal:Adel
Nt5e	Quasi-Mesanchymal:Adel
Cks2	Quasi-Mesanchymal:Adel
Hmmr	Quasi-Mesanchymal:Adel
