Genes	Subtype
RP11-234B24.6	Classical B:Adel
MUC13	Classical B:Adel
ANG	Classical B:Adel
CFTR	Normal Epithelial:Adel
BICC1	Normal Epithelial:Adel
SLC4A4	Normal Epithelial:Adel
GLIS3	Normal Epithelial:Adel
SCTR	Normal Epithelial:Adel
AMBP	Normal Epithelial:Adel
FXYD2	Normal Epithelial:Adel
ANXA4	Normal Epithelial:Adel
SPP1	Normal Epithelial:Adel
SOX9	Normal Epithelial:Adel
FOS	Normal Epithelial:Adel
JUN	Normal Epithelial:Adel
CRP	Normal Epithelial:Adel
MUC5B	Normal Epithelial:Adel
ONECUT2	Normal Epithelial:Adel
CRISP3	Normal Epithelial:Adel
TFF3	Normal Epithelial:Adel
AMBP	Ductal cell 1: Peng
CFTR	Ductal cell 1: Peng
MMP7	Ductal cell 1: Peng
KRT19	Ductal cell 2: Peng
KRT7	Ductal cell 2: Peng
TSPAN8	Ductal cell 2: Peng
SLPI	Ductal cell 2: Peng
PRSS1	Acinar: Peng
CTRB1	Acinar: Peng
CTRB2	Acinar: Peng
REG1B	Acinar: Peng
ZG16	Acinar: Dana Pe'er
CPA1	Acinar: Dana Pe'er
KRT19	Ductal: Dana Pe'er
SOX9	Ductal: Dana Pe'er
CLU	Ductal: Dana Pe'er
MUC1	Gastric: Dana Pe'er
MUC6	Gastric: Dana Pe'er
GKN3	Gastric: Dana Pe'er
MUC5AC	Gastric: Dana Pe'er
TFF2	Gastric: Dana Pe'er
TFF1	Gastric: Dana Pe'er
AGR2	Gastric: Dana Pe'er
MT2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
MUC6	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CRIP1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
TMSB10	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
S100A11	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GPX2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GSTM1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
KRT19	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
SNRPG	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
CXCL17	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
KLF5	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
GSTA4	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
LGALS9	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
AGR2	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
FGFBP1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
SOX4	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
XIST	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
OIT1	Acute_SPEM(spasmolytic polypeptide-expressing metaplasia)_sig: DelGiorno
