Genes	Subtype
CNPY2	Fibroblasts:Raghu_Kalluri
VAT1	Fibroblasts:Raghu_Kalluri
TSPAN3	Fibroblasts:Raghu_Kalluri
SLC25A4	Fibroblasts:Raghu_Kalluri
MORF4L2	Fibroblasts:Raghu_Kalluri
RCN2	Fibroblasts:Raghu_Kalluri
SCARB2	Fibroblasts:Raghu_Kalluri
DUSP1	Fibroblasts:Raghu_Kalluri
TMEM176B	Fibroblasts:Raghu_Kalluri
TMEM176A	Fibroblasts:Raghu_Kalluri
IFITM1	Fibroblasts:Raghu_Kalluri
2900097C17RIK	Fibroblasts:Raghu_Kalluri
P4HB	Fibroblasts:Raghu_Kalluri
HSP90B1	Fibroblasts:Raghu_Kalluri
RRBP1	Fibroblasts:Raghu_Kalluri
RHOB	Fibroblasts:Raghu_Kalluri
CYB5A	Fibroblasts:Raghu_Kalluri
DSTN	Fibroblasts:Raghu_Kalluri
