Genes	Subtype
CD68	Myeloid cells 1:Raghu_Kalluri
CTSA	Myeloid cells 1:Raghu_Kalluri
PRDX5	Myeloid cells 1:Raghu_Kalluri
SDCBP	Myeloid cells 1:Raghu_Kalluri
MCL1	Myeloid cells 1:Raghu_Kalluri
CCL24	Myeloid cells 1:Raghu_Kalluri
CD300C2	Myeloid cells 1:Raghu_Kalluri
CLTA	Myeloid cells 1:Raghu_Kalluri
LY86	Myeloid cells 1:Raghu_Kalluri
CXCL16	Myeloid cells 1:Raghu_Kalluri
ATOX1	Myeloid cells 1:Raghu_Kalluri
H2-DMB1	Myeloid cells 1:Raghu_Kalluri
HMOX1	Myeloid cells 1:Raghu_Kalluri
LGALS3	Myeloid cells 1:Raghu_Kalluri
MAF	Myeloid cells 1:Raghu_Kalluri
NPC2	Myeloid cells 1:Raghu_Kalluri
FOSB	Myeloid cells 1:Raghu_Kalluri
OSM	Myeloid cells 1:Raghu_Kalluri
TIMP2	Myeloid cells 1:Raghu_Kalluri
CSTB	Myeloid cells 1:Raghu_Kalluri
SAT1	Myeloid cells 1:Raghu_Kalluri
SERINC3	Myeloid cells 1:Raghu_Kalluri
GM2A	Myeloid cells 1:Raghu_Kalluri
MGL2	Myeloid cells 1:Raghu_Kalluri
CFH	Myeloid cells 1:Raghu_Kalluri
STAB1	Myeloid cells 1:Raghu_Kalluri
CLEC4A2	Myeloid cells 1:Raghu_Kalluri
MSRB1	Myeloid cells 1:Raghu_Kalluri
ZEB2	Myeloid cells 1:Raghu_Kalluri
RGS10	Myeloid cells 1:Raghu_Kalluri
LRG1	Myeloid cells 1:Raghu_Kalluri
SPI1	Myeloid cells 1:Raghu_Kalluri
KLF4	Myeloid cells 1:Raghu_Kalluri
UNC93B1	Myeloid cells 1:Raghu_Kalluri
CBR2	Myeloid cells 1:Raghu_Kalluri
PLD4	Myeloid cells 1:Raghu_Kalluri
H2-DMA	Myeloid cells 1:Raghu_Kalluri
PLIN2	Myeloid cells 1:Raghu_Kalluri
CLEC10A	Myeloid cells 1:Raghu_Kalluri
CYBB	Myeloid cells 1:Raghu_Kalluri
LAPTM5	Myeloid cells 1:Raghu_Kalluri
CLTC	Myeloid cells 1:Raghu_Kalluri
CD63	Myeloid cells 1:Raghu_Kalluri
C3AR1	Myeloid cells 1:Raghu_Kalluri
CCL3	Myeloid cells 1:Raghu_Kalluri
LAMP2	Myeloid cells 1:Raghu_Kalluri
SIRPA	Myeloid cells 1:Raghu_Kalluri
CTSL	Myeloid cells 1:Raghu_Kalluri
UCP2	Myeloid cells 1:Raghu_Kalluri
ATP6V0B	Myeloid cells 1:Raghu_Kalluri
ADGRE1	Myeloid cells 1:Raghu_Kalluri
TMEM256	Myeloid cells 1:Raghu_Kalluri
APP	Myeloid cells 1:Raghu_Kalluri
KCTD12	Myeloid cells 1:Raghu_Kalluri
CCR5	Myeloid cells 1:Raghu_Kalluri
PLEK	Myeloid cells 1:Raghu_Kalluri
RNF130	Myeloid cells 1:Raghu_Kalluri
CCRL2	Myeloid cells 1:Raghu_Kalluri
VSIR	Myeloid cells 1:Raghu_Kalluri
CX3CR1	Myeloid cells 1:Raghu_Kalluri
SEM1	Myeloid cells 1:Raghu_Kalluri
PIRB	Myeloid cells 1:Raghu_Kalluri
PICALM	Myeloid cells 1:Raghu_Kalluri
MAN2B1	Myeloid cells 1:Raghu_Kalluri
GATM	Myeloid cells 1:Raghu_Kalluri
SOCS3	Myeloid cells 1:Raghu_Kalluri
AP2A2	Myeloid cells 1:Raghu_Kalluri
CCR1	Myeloid cells 1:Raghu_Kalluri
EFHD2	Myeloid cells 1:Raghu_Kalluri
RRBP1	Myeloid cells 1:Raghu_Kalluri
ATF3	Myeloid cells 1:Raghu_Kalluri
CLEC4A1	Myeloid cells 1:Raghu_Kalluri
KLF6	Myeloid cells 1:Raghu_Kalluri
GABARAP	Myeloid cells 1:Raghu_Kalluri
FOSL2	Myeloid cells 1:Raghu_Kalluri
GLUL	Myeloid cells 1:Raghu_Kalluri
SDC3	Myeloid cells 1:Raghu_Kalluri
PID1	Myeloid cells 1:Raghu_Kalluri
TCN2	Myeloid cells 1:Raghu_Kalluri
VAMP8	Myeloid cells 1:Raghu_Kalluri
LRRC25	Myeloid cells 1:Raghu_Kalluri
METRNL	Myeloid cells 1:Raghu_Kalluri
PTAFR	Myeloid cells 1:Raghu_Kalluri
CLEC4A3	Myeloid cells 1:Raghu_Kalluri
FCRLS	Myeloid cells 1:Raghu_Kalluri
BC005537	Myeloid cells 1:Raghu_Kalluri
ERP29	Myeloid cells 1:Raghu_Kalluri
HEXB	Myeloid cells 1:Raghu_Kalluri
IRF2BP2	Myeloid cells 1:Raghu_Kalluri
AXL	Myeloid cells 1:Raghu_Kalluri
CD302	Myeloid cells 1:Raghu_Kalluri
P2RY6	Myeloid cells 1:Raghu_Kalluri
PLA2G7	Myeloid cells 1:Raghu_Kalluri
CSF2RB	Myeloid cells 1:Raghu_Kalluri
ITGAM	Myeloid cells 1:Raghu_Kalluri
EHD4	Myeloid cells 1:Raghu_Kalluri
RNF149	Myeloid cells 1:Raghu_Kalluri
ASAH1	Myeloid cells 1:Raghu_Kalluri
FCGR4	Myeloid cells 1:Raghu_Kalluri
ANXA3	Myeloid cells 1:Raghu_Kalluri
F10	Myeloid cells 1:Raghu_Kalluri
EMILIN2	Myeloid cells 1:Raghu_Kalluri
FTL1-PS1	Myeloid cells 1:Raghu_Kalluri
MSR1	Myeloid cells 1:Raghu_Kalluri
HEBP1	Myeloid cells 1:Raghu_Kalluri
CAMK1	Myeloid cells 1:Raghu_Kalluri
APLP2	Myeloid cells 1:Raghu_Kalluri
ABCA1	Myeloid cells 1:Raghu_Kalluri
CYTH4	Myeloid cells 1:Raghu_Kalluri
NTPCR	Myeloid cells 1:Raghu_Kalluri
FCGR1	Myeloid cells 1:Raghu_Kalluri
DHRS3	Myeloid cells 1:Raghu_Kalluri
GAS6	Myeloid cells 1:Raghu_Kalluri
GNS	Myeloid cells 1:Raghu_Kalluri
COMT	Myeloid cells 1:Raghu_Kalluri
FURIN	Myeloid cells 1:Raghu_Kalluri
IFNGR1	Myeloid cells 1:Raghu_Kalluri
TM6SF1	Myeloid cells 1:Raghu_Kalluri
TLR2	Myeloid cells 1:Raghu_Kalluri
LILR4B	Myeloid cells 1:Raghu_Kalluri
CD33	Myeloid cells 1:Raghu_Kalluri
FAM46A	Myeloid cells 1:Raghu_Kalluri
NCF2	Myeloid cells 1:Raghu_Kalluri
RAB3IL1	Myeloid cells 1:Raghu_Kalluri
TMEM37	Myeloid cells 1:Raghu_Kalluri
PRKCD	Myeloid cells 1:Raghu_Kalluri
PRCP	Myeloid cells 1:Raghu_Kalluri
BCL2A1A	Myeloid cells 1:Raghu_Kalluri
NFE2L2	Myeloid cells 1:Raghu_Kalluri
CREG1	Myeloid cells 1:Raghu_Kalluri
LITAF	Myeloid cells 1:Raghu_Kalluri
CSF2RA	Myeloid cells 1:Raghu_Kalluri
RBPJ	Myeloid cells 1:Raghu_Kalluri
APOBEC1	Myeloid cells 1:Raghu_Kalluri
NFIL3	Myeloid cells 1:Raghu_Kalluri
CEBPA	Myeloid cells 1:Raghu_Kalluri
ARRB2	Myeloid cells 1:Raghu_Kalluri
TMEM106A	Myeloid cells 1:Raghu_Kalluri
NRROS	Myeloid cells 1:Raghu_Kalluri
GUSB	Myeloid cells 1:Raghu_Kalluri
TBXAS1	Myeloid cells 1:Raghu_Kalluri
LYN	Myeloid cells 1:Raghu_Kalluri
HACD4	Myeloid cells 1:Raghu_Kalluri
