Genes	Subtype
PCLAF	B cells 3:Raghu_Kalluri
STMN1	B cells 3:Raghu_Kalluri
HMGN2	B cells 3:Raghu_Kalluri
MS4A1	B cells 3:Raghu_Kalluri
H2AFX	B cells 3:Raghu_Kalluri
RGS13	B cells 3:Raghu_Kalluri
MEF2B	B cells 3:Raghu_Kalluri
ARPC5L	B cells 3:Raghu_Kalluri
MZB1	B cells 3:Raghu_Kalluri
HMCES	B cells 3:Raghu_Kalluri
CKS2	B cells 3:Raghu_Kalluri
HIST1H2AP	B cells 3:Raghu_Kalluri
POU2AF1	B cells 3:Raghu_Kalluri
SYPL	B cells 3:Raghu_Kalluri
MEF2C	B cells 3:Raghu_Kalluri
UBE2C	B cells 3:Raghu_Kalluri
TOP2A	B cells 3:Raghu_Kalluri
BIRC5	B cells 3:Raghu_Kalluri
TNFRSF13C	B cells 3:Raghu_Kalluri
CKS1B	B cells 3:Raghu_Kalluri
AICDA	B cells 3:Raghu_Kalluri
H1FX	B cells 3:Raghu_Kalluri
EAF2	B cells 3:Raghu_Kalluri
KLHL6	B cells 3:Raghu_Kalluri
PSIP1	B cells 3:Raghu_Kalluri
BFSP2	B cells 3:Raghu_Kalluri
SCIMP	B cells 3:Raghu_Kalluri
GCSAM	B cells 3:Raghu_Kalluri
SMAGP	B cells 3:Raghu_Kalluri
RRM2	B cells 3:Raghu_Kalluri
NEIL1	B cells 3:Raghu_Kalluri
CDCA8	B cells 3:Raghu_Kalluri
NUSAP1	B cells 3:Raghu_Kalluri
DCK	B cells 3:Raghu_Kalluri
CENPS	B cells 3:Raghu_Kalluri
LMNB1	B cells 3:Raghu_Kalluri
ASF1B	B cells 3:Raghu_Kalluri
MCM5	B cells 3:Raghu_Kalluri
MKI67	B cells 3:Raghu_Kalluri
SPC24	B cells 3:Raghu_Kalluri
ADA	B cells 3:Raghu_Kalluri
CCNA2	B cells 3:Raghu_Kalluri
HELLS	B cells 3:Raghu_Kalluri
LIPC	B cells 3:Raghu_Kalluri
MYBL1	B cells 3:Raghu_Kalluri
DHFR	B cells 3:Raghu_Kalluri
NUGGC	B cells 3:Raghu_Kalluri
DUT	B cells 3:Raghu_Kalluri
CDCA3	B cells 3:Raghu_Kalluri
NAP1L1	B cells 3:Raghu_Kalluri
CD79B	B cells 3:Raghu_Kalluri
CCNB2	B cells 3:Raghu_Kalluri
CD24A	B cells 3:Raghu_Kalluri
GMNN	B cells 3:Raghu_Kalluri
MCM7	B cells 3:Raghu_Kalluri
HPF1	B cells 3:Raghu_Kalluri
UHRF1	B cells 3:Raghu_Kalluri
S1PR2	B cells 3:Raghu_Kalluri
BLNK	B cells 3:Raghu_Kalluri
HMGN1	B cells 3:Raghu_Kalluri
UCHL3	B cells 3:Raghu_Kalluri
TK1	B cells 3:Raghu_Kalluri
BASP1	B cells 3:Raghu_Kalluri
TIPIN	B cells 3:Raghu_Kalluri
CD19	B cells 3:Raghu_Kalluri
ANP32B	B cells 3:Raghu_Kalluri
CDCA7	B cells 3:Raghu_Kalluri
MCM6	B cells 3:Raghu_Kalluri
LIG1	B cells 3:Raghu_Kalluri
MTMR14	B cells 3:Raghu_Kalluri
CDC20	B cells 3:Raghu_Kalluri
PKIG	B cells 3:Raghu_Kalluri
MTF2	B cells 3:Raghu_Kalluri
EZH2	B cells 3:Raghu_Kalluri
H2-DMB2	B cells 3:Raghu_Kalluri
RFC2	B cells 3:Raghu_Kalluri
IGLC1	B cells 3:Raghu_Kalluri
MAD2L1	B cells 3:Raghu_Kalluri
CD79A	B cells 3:Raghu_Kalluri
SPIB	B cells 3:Raghu_Kalluri
MCM3	B cells 3:Raghu_Kalluri
AURKB	B cells 3:Raghu_Kalluri
LPXN	B cells 3:Raghu_Kalluri
VPREB3	B cells 3:Raghu_Kalluri
MCM2	B cells 3:Raghu_Kalluri
SLBP	B cells 3:Raghu_Kalluri
CENPF	B cells 3:Raghu_Kalluri
KPNA2	B cells 3:Raghu_Kalluri
RAN	B cells 3:Raghu_Kalluri
TPX2	B cells 3:Raghu_Kalluri
HMGN3	B cells 3:Raghu_Kalluri
CDK1	B cells 3:Raghu_Kalluri
IRF8	B cells 3:Raghu_Kalluri
HMGB1	B cells 3:Raghu_Kalluri
CCNB1	B cells 3:Raghu_Kalluri
GLRX3	B cells 3:Raghu_Kalluri
LRMP	B cells 3:Raghu_Kalluri
SLC25A19	B cells 3:Raghu_Kalluri
PTMA	B cells 3:Raghu_Kalluri
MIF4GD	B cells 3:Raghu_Kalluri
TMEM243	B cells 3:Raghu_Kalluri
DEK	B cells 3:Raghu_Kalluri
