Genes	Subtypes
FABP5	Cycling:Chantale-canc Disc_2022
PKM	Cycling:Chantale-canc Disc_2022
SMC4	Cycling:Chantale-canc Disc_2022
PSME2	Cycling:Chantale-canc Disc_2022
ARL6IP1	Cycling:Chantale-canc Disc_2022
TPX2	Cycling:Chantale-canc Disc_2022
MIF	Cycling:Chantale-canc Disc_2022
CDK1	Cycling:Chantale-canc Disc_2022
BIRC5	Cycling:Chantale-canc Disc_2022
ASPM	Cycling:Chantale-canc Disc_2022
LDHA	Cycling:Chantale-canc Disc_2022
YWHAH	Cycling:Chantale-canc Disc_2022
CCL4L2	Cycling:Chantale-canc Disc_2022
H2AFX	Cycling:Chantale-canc Disc_2022
CCL3	Cycling:Chantale-canc Disc_2022
PSMB9	Cycling:Chantale-canc Disc_2022
C12orf75	Cycling:Chantale-canc Disc_2022
TK1	Cycling:Chantale-canc Disc_2022
ANXA2	Cycling:Chantale-canc Disc_2022
SRSF3	Cycling:Chantale-canc Disc_2022
CRIP1	Cycling:Chantale-canc Disc_2022
DYNLL1	Cycling:Chantale-canc Disc_2022
RRM2	Cycling:Chantale-canc Disc_2022
GSTP1	Cycling:Chantale-canc Disc_2022
COX17	Cycling:Chantale-canc Disc_2022
TMSB4X	Cycling:Chantale-canc Disc_2022
CACYBP	Cycling:Chantale-canc Disc_2022
MT1E	Cycling:Chantale-canc Disc_2022
CCNB2	Cycling:Chantale-canc Disc_2022
EIF5A	Cycling:Chantale-canc Disc_2022
KPNA2	Cycling:Chantale-canc Disc_2022
GTSE1	Cycling:Chantale-canc Disc_2022
AURKB	Cycling:Chantale-canc Disc_2022
SH3BGRL3	Cycling:Chantale-canc Disc_2022
GZMA	Cycling:Chantale-canc Disc_2022
LCP1	Cycling:Chantale-canc Disc_2022
KNL1	Cycling:Chantale-canc Disc_2022
PTMS	Cycling:Chantale-canc Disc_2022
CDT1	Cycling:Chantale-canc Disc_2022
LMNB1	Cycling:Chantale-canc Disc_2022
CKLF	Cycling:Chantale-canc Disc_2022
CLSPN	Cycling:Chantale-canc Disc_2022
GMNN	Cycling:Chantale-canc Disc_2022
MTHFD2	Cycling:Chantale-canc Disc_2022
CCNA2	Cycling:Chantale-canc Disc_2022
UBE2S	Cycling:Chantale-canc Disc_2022
KIF20B	Cycling:Chantale-canc Disc_2022
YWHAQ	Cycling:Chantale-canc Disc_2022
CDC20	Cycling:Chantale-canc Disc_2022
CDCA7	Cycling:Chantale-canc Disc_2022
IFI16	Cycling:Chantale-canc Disc_2022
MIR4435-2HG	Cycling:Chantale-canc Disc_2022
LSP1	Cycling:Chantale-canc Disc_2022
HMGN3	Cycling:Chantale-canc Disc_2022
TAGLN2	Cycling:Chantale-canc Disc_2022
CCNB1	Cycling:Chantale-canc Disc_2022
SMS	Cycling:Chantale-canc Disc_2022
NUF2	Cycling:Chantale-canc Disc_2022
HIST1H1B	Cycling:Chantale-canc Disc_2022
CENPE	Cycling:Chantale-canc Disc_2022
PHPT1	Cycling:Chantale-canc Disc_2022
EZH2	Cycling:Chantale-canc Disc_2022
S100A11	Cycling:Chantale-canc Disc_2022
S100A10	Cycling:Chantale-canc Disc_2022
HMMR	Cycling:Chantale-canc Disc_2022
SOD1	Cycling:Chantale-canc Disc_2022
CENPA	Cycling:Chantale-canc Disc_2022
SAC3D1	Cycling:Chantale-canc Disc_2022
S100A6	Cycling:Chantale-canc Disc_2022
IFI6	Cycling:Chantale-canc Disc_2022
LAG3	Cycling:Chantale-canc Disc_2022
FAM111B	Cycling:Chantale-canc Disc_2022
MIR155HG	Cycling:Chantale-canc Disc_2022
ID3	Cycling:Chantale-canc Disc_2022
BARD1	Cycling:Chantale-canc Disc_2022
NDC80	Cycling:Chantale-canc Disc_2022
EMP3	Cycling:Chantale-canc Disc_2022
PLK1	Cycling:Chantale-canc Disc_2022
HP1BP3	Cycling:Chantale-canc Disc_2022
SRSF2	Cycling:Chantale-canc Disc_2022
PGK1	Cycling:Chantale-canc Disc_2022
HIST1H1E	Cycling:Chantale-canc Disc_2022
CYTOR	Cycling:Chantale-canc Disc_2022
HIST1H1C	Cycling:Chantale-canc Disc_2022
TEX30	Cycling:Chantale-canc Disc_2022
NUCB2	Cycling:Chantale-canc Disc_2022
CDKN2A	Cycling:Chantale-canc Disc_2022
TXN2	Cycling:Chantale-canc Disc_2022
