Genes	Subtypes
GADD45A	CD4-FOXP3:Chantale-canc Disc_2022
RGS1	CD4-FOXP3:Chantale-canc Disc_2022
ISG15	CD4-FOXP3:Chantale-canc Disc_2022
SRGN	CD4-FOXP3:Chantale-canc Disc_2022
GBP2	CD4-FOXP3:Chantale-canc Disc_2022
RTKN2	CD4-FOXP3:Chantale-canc Disc_2022
TPI1	CD4-FOXP3:Chantale-canc Disc_2022
BTG3	CD4-FOXP3:Chantale-canc Disc_2022
LAYN	CD4-FOXP3:Chantale-canc Disc_2022
CFLAR	CD4-FOXP3:Chantale-canc Disc_2022
GBP5	CD4-FOXP3:Chantale-canc Disc_2022
COX17	CD4-FOXP3:Chantale-canc Disc_2022
S100A6	CD4-FOXP3:Chantale-canc Disc_2022
MAGEH1	CD4-FOXP3:Chantale-canc Disc_2022
IL2RB	CD4-FOXP3:Chantale-canc Disc_2022
IKZF2	CD4-FOXP3:Chantale-canc Disc_2022
BST2	CD4-FOXP3:Chantale-canc Disc_2022
CD247	CD4-FOXP3:Chantale-canc Disc_2022
UBC	CD4-FOXP3:Chantale-canc Disc_2022
CGA	CD4-FOXP3:Chantale-canc Disc_2022
BIRC3	CD4-FOXP3:Chantale-canc Disc_2022
SMS	CD4-FOXP3:Chantale-canc Disc_2022
ACTG1	CD4-FOXP3:Chantale-canc Disc_2022
PSMB9	CD4-FOXP3:Chantale-canc Disc_2022
RHBDD2	CD4-FOXP3:Chantale-canc Disc_2022
PTTG1	CD4-FOXP3:Chantale-canc Disc_2022
SYNGR2	CD4-FOXP3:Chantale-canc Disc_2022
SOX4	CD4-FOXP3:Chantale-canc Disc_2022
CCR8	CD4-FOXP3:Chantale-canc Disc_2022
STAM	CD4-FOXP3:Chantale-canc Disc_2022
ARID5B	CD4-FOXP3:Chantale-canc Disc_2022
TRAC	CD4-FOXP3:Chantale-canc Disc_2022
MT2A	CD4-FOXP3:Chantale-canc Disc_2022
TMSB10	CD4-FOXP3:Chantale-canc Disc_2022
TAGLN2	CD4-FOXP3:Chantale-canc Disc_2022
GATA3	CD4-FOXP3:Chantale-canc Disc_2022
AC017002.3	CD4-FOXP3:Chantale-canc Disc_2022
PBXIP1	CD4-FOXP3:Chantale-canc Disc_2022
REL	CD4-FOXP3:Chantale-canc Disc_2022
FANK1	CD4-FOXP3:Chantale-canc Disc_2022
PHLDA1	CD4-FOXP3:Chantale-canc Disc_2022
CD82	CD4-FOXP3:Chantale-canc Disc_2022
H3F3B	CD4-FOXP3:Chantale-canc Disc_2022
CLEC2D	CD4-FOXP3:Chantale-canc Disc_2022
EZR	CD4-FOXP3:Chantale-canc Disc_2022
CD177	CD4-FOXP3:Chantale-canc Disc_2022
CRADD	CD4-FOXP3:Chantale-canc Disc_2022
PRDM1	CD4-FOXP3:Chantale-canc Disc_2022
EPSTI1	CD4-FOXP3:Chantale-canc Disc_2022
RNF213	CD4-FOXP3:Chantale-canc Disc_2022
OAS1	CD4-FOXP3:Chantale-canc Disc_2022
TRBC2	CD4-FOXP3:Chantale-canc Disc_2022
CCND2	CD4-FOXP3:Chantale-canc Disc_2022
CD2	CD4-FOXP3:Chantale-canc Disc_2022
RBPJ	CD4-FOXP3:Chantale-canc Disc_2022
ZFP36L1	CD4-FOXP3:Chantale-canc Disc_2022
YWHAB	CD4-FOXP3:Chantale-canc Disc_2022
IFI27	CD4-FOXP3:Chantale-canc Disc_2022
LAPTM4B	CD4-FOXP3:Chantale-canc Disc_2022
LINC02099	CD4-FOXP3:Chantale-canc Disc_2022
SH2D2A	CD4-FOXP3:Chantale-canc Disc_2022
WSB1	CD4-FOXP3:Chantale-canc Disc_2022
IKZF4	CD4-FOXP3:Chantale-canc Disc_2022
HERC5	CD4-FOXP3:Chantale-canc Disc_2022
SPATS2L	CD4-FOXP3:Chantale-canc Disc_2022
MX1	CD4-FOXP3:Chantale-canc Disc_2022
CALR	CD4-FOXP3:Chantale-canc Disc_2022
ARF6	CD4-FOXP3:Chantale-canc Disc_2022
ISG20	CD4-FOXP3:Chantale-canc Disc_2022
ZC2HC1A	CD4-FOXP3:Chantale-canc Disc_2022
TRBC1	CD4-FOXP3:Chantale-canc Disc_2022
OTUD5	CD4-FOXP3:Chantale-canc Disc_2022
IL2RG	CD4-FOXP3:Chantale-canc Disc_2022
VMP1	CD4-FOXP3:Chantale-canc Disc_2022
PTPN7	CD4-FOXP3:Chantale-canc Disc_2022
PGK1	CD4-FOXP3:Chantale-canc Disc_2022
MRPS6	CD4-FOXP3:Chantale-canc Disc_2022
DYNLL1	CD4-FOXP3:Chantale-canc Disc_2022
LTA	CD4-FOXP3:Chantale-canc Disc_2022
ZBTB38	CD4-FOXP3:Chantale-canc Disc_2022
CMTM6	CD4-FOXP3:Chantale-canc Disc_2022
DOK2	CD4-FOXP3:Chantale-canc Disc_2022
IQGAP1	CD4-FOXP3:Chantale-canc Disc_2022
NAMPT	CD4-FOXP3:Chantale-canc Disc_2022
SOCS1	CD4-FOXP3:Chantale-canc Disc_2022
MT1E	CD4-FOXP3:Chantale-canc Disc_2022
STK17B	CD4-FOXP3:Chantale-canc Disc_2022
FMNL1	CD4-FOXP3:Chantale-canc Disc_2022
MAST4	CD4-FOXP3:Chantale-canc Disc_2022
IL1R2	CD4-FOXP3:Chantale-canc Disc_2022
FAM129A	CD4-FOXP3:Chantale-canc Disc_2022
SNX9	CD4-FOXP3:Chantale-canc Disc_2022
GLCCI1	CD4-FOXP3:Chantale-canc Disc_2022
CLEC7A	CD4-FOXP3:Chantale-canc Disc_2022
RAB9A	CD4-FOXP3:Chantale-canc Disc_2022
SAMSN1	CD4-FOXP3:Chantale-canc Disc_2022
PIM3	CD4-FOXP3:Chantale-canc Disc_2022
CD79B	CD4-FOXP3:Chantale-canc Disc_2022
PSME2	CD4-FOXP3:Chantale-canc Disc_2022
ID3	CD4-FOXP3:Chantale-canc Disc_2022
PHACTR2	CD4-FOXP3:Chantale-canc Disc_2022
C15orf53	CD4-FOXP3:Chantale-canc Disc_2022
LYST	CD4-FOXP3:Chantale-canc Disc_2022
ETS1	CD4-FOXP3:Chantale-canc Disc_2022
APLP2	CD4-FOXP3:Chantale-canc Disc_2022
CREM	CD4-FOXP3:Chantale-canc Disc_2022
CD4	CD4-FOXP3:Chantale-canc Disc_2022
THADA	CD4-FOXP3:Chantale-canc Disc_2022
AC005392.2	CD4-FOXP3:Chantale-canc Disc_2022
CACYBP	CD4-FOXP3:Chantale-canc Disc_2022
CUL9	CD4-FOXP3:Chantale-canc Disc_2022
UBB	CD4-FOXP3:Chantale-canc Disc_2022
TUBB	CD4-FOXP3:Chantale-canc Disc_2022
MIR155HG	CD4-FOXP3:Chantale-canc Disc_2022
AC133644.2	CD4-FOXP3:Chantale-canc Disc_2022
MIF	CD4-FOXP3:Chantale-canc Disc_2022
SMAP2	CD4-FOXP3:Chantale-canc Disc_2022
CCNG2	CD4-FOXP3:Chantale-canc Disc_2022
EFHD2	CD4-FOXP3:Chantale-canc Disc_2022
CADM1	CD4-FOXP3:Chantale-canc Disc_2022
MAP1LC3A	CD4-FOXP3:Chantale-canc Disc_2022
LGALS3	CD4-FOXP3:Chantale-canc Disc_2022
GK	CD4-FOXP3:Chantale-canc Disc_2022
ITM2A	CD4-FOXP3:Chantale-canc Disc_2022
ITGB1	CD4-FOXP3:Chantale-canc Disc_2022
LIMS1	CD4-FOXP3:Chantale-canc Disc_2022
ZNF292	CD4-FOXP3:Chantale-canc Disc_2022
HNRNPLL	CD4-FOXP3:Chantale-canc Disc_2022
STAT1	CD4-FOXP3:Chantale-canc Disc_2022
NFAT5	CD4-FOXP3:Chantale-canc Disc_2022
SAMHD1	CD4-FOXP3:Chantale-canc Disc_2022
GADD45G	CD4-FOXP3:Chantale-canc Disc_2022
SH2D1A	CD4-FOXP3:Chantale-canc Disc_2022
BCL3	CD4-FOXP3:Chantale-canc Disc_2022
SERPINB9	CD4-FOXP3:Chantale-canc Disc_2022
EBI3	CD4-FOXP3:Chantale-canc Disc_2022
CD70	CD4-FOXP3:Chantale-canc Disc_2022
SELPLG	CD4-FOXP3:Chantale-canc Disc_2022
VAV3	CD4-FOXP3:Chantale-canc Disc_2022
BEX3	CD4-FOXP3:Chantale-canc Disc_2022
HAVCR2	CD4-FOXP3:Chantale-canc Disc_2022
ARL6IP1	CD4-FOXP3:Chantale-canc Disc_2022
AKIRIN2	CD4-FOXP3:Chantale-canc Disc_2022
NDFIP2	CD4-FOXP3:Chantale-canc Disc_2022
NFKBIA	CD4-FOXP3:Chantale-canc Disc_2022
TOX	CD4-FOXP3:Chantale-canc Disc_2022
SDC4	CD4-FOXP3:Chantale-canc Disc_2022
CD44	CD4-FOXP3:Chantale-canc Disc_2022
PTP4A3	CD4-FOXP3:Chantale-canc Disc_2022
ADAR	CD4-FOXP3:Chantale-canc Disc_2022
CASP8	CD4-FOXP3:Chantale-canc Disc_2022
ACTA2	CD4-FOXP3:Chantale-canc Disc_2022
KMT2E	CD4-FOXP3:Chantale-canc Disc_2022
XAF1	CD4-FOXP3:Chantale-canc Disc_2022
PTPRJ	CD4-FOXP3:Chantale-canc Disc_2022
SLFN5	CD4-FOXP3:Chantale-canc Disc_2022
NABP1	CD4-FOXP3:Chantale-canc Disc_2022
NR3C1	CD4-FOXP3:Chantale-canc Disc_2022
LIMD2	CD4-FOXP3:Chantale-canc Disc_2022
TOX2	CD4-FOXP3:Chantale-canc Disc_2022
NAP1L4	CD4-FOXP3:Chantale-canc Disc_2022
CDC42	CD4-FOXP3:Chantale-canc Disc_2022
ITGA4	CD4-FOXP3:Chantale-canc Disc_2022
OGA	CD4-FOXP3:Chantale-canc Disc_2022
HILPDA	CD4-FOXP3:Chantale-canc Disc_2022
YWHAH	CD4-FOXP3:Chantale-canc Disc_2022
PTMA	CD4-FOXP3:Chantale-canc Disc_2022
LINC01281	CD4-FOXP3:Chantale-canc Disc_2022
MDFIC	CD4-FOXP3:Chantale-canc Disc_2022
H2AFZ	CD4-FOXP3:Chantale-canc Disc_2022
CXCR3	CD4-FOXP3:Chantale-canc Disc_2022
HERPUD1	CD4-FOXP3:Chantale-canc Disc_2022
STAT3	CD4-FOXP3:Chantale-canc Disc_2022
SRSF7	CD4-FOXP3:Chantale-canc Disc_2022
CTNNB1	CD4-FOXP3:Chantale-canc Disc_2022
NFKB2	CD4-FOXP3:Chantale-canc Disc_2022
GCHFR	CD4-FOXP3:Chantale-canc Disc_2022
RASGRP1	CD4-FOXP3:Chantale-canc Disc_2022
CBFB	CD4-FOXP3:Chantale-canc Disc_2022
MINDY2	CD4-FOXP3:Chantale-canc Disc_2022
IL10RA	CD4-FOXP3:Chantale-canc Disc_2022
MTHFD2	CD4-FOXP3:Chantale-canc Disc_2022
CD79A	CD4-FOXP3:Chantale-canc Disc_2022
ANXA2	CD4-FOXP3:Chantale-canc Disc_2022
CCL22	CD4-FOXP3:Chantale-canc Disc_2022
C17orf49	CD4-FOXP3:Chantale-canc Disc_2022
IVNS1ABP	CD4-FOXP3:Chantale-canc Disc_2022
ADTRP	CD4-FOXP3:Chantale-canc Disc_2022
GNPTAB	CD4-FOXP3:Chantale-canc Disc_2022
HNRNPL	CD4-FOXP3:Chantale-canc Disc_2022
IZUMO4	CD4-FOXP3:Chantale-canc Disc_2022
HMGN2	CD4-FOXP3:Chantale-canc Disc_2022
TUT7	CD4-FOXP3:Chantale-canc Disc_2022
HLF	CD4-FOXP3:Chantale-canc Disc_2022
CISH	CD4-FOXP3:Chantale-canc Disc_2022
TTN	CD4-FOXP3:Chantale-canc Disc_2022
SAMD9L	CD4-FOXP3:Chantale-canc Disc_2022
TXN2	CD4-FOXP3:Chantale-canc Disc_2022
TNFRSF13B	CD4-FOXP3:Chantale-canc Disc_2022
RORA	CD4-FOXP3:Chantale-canc Disc_2022
PPM1K	CD4-FOXP3:Chantale-canc Disc_2022
FCMR	CD4-FOXP3:Chantale-canc Disc_2022
RHOH	CD4-FOXP3:Chantale-canc Disc_2022
CDKN2A	CD4-FOXP3:Chantale-canc Disc_2022
KIF20B	CD4-FOXP3:Chantale-canc Disc_2022
TMSB4X	CD4-FOXP3:Chantale-canc Disc_2022
LDHA	CD4-FOXP3:Chantale-canc Disc_2022
SAMD9	CD4-FOXP3:Chantale-canc Disc_2022
LINC00426	CD4-FOXP3:Chantale-canc Disc_2022
PGM2L1	CD4-FOXP3:Chantale-canc Disc_2022
EIF3J	CD4-FOXP3:Chantale-canc Disc_2022
NCR3	CD4-FOXP3:Chantale-canc Disc_2022
CPNE2	CD4-FOXP3:Chantale-canc Disc_2022
TSPAN13	CD4-FOXP3:Chantale-canc Disc_2022
TNIP3	CD4-FOXP3:Chantale-canc Disc_2022
TACC1	CD4-FOXP3:Chantale-canc Disc_2022
COCH	CD4-FOXP3:Chantale-canc Disc_2022
EMP3	CD4-FOXP3:Chantale-canc Disc_2022
EIF5A	CD4-FOXP3:Chantale-canc Disc_2022
SRSF3	CD4-FOXP3:Chantale-canc Disc_2022
CHST12	CD4-FOXP3:Chantale-canc Disc_2022
TCF25	CD4-FOXP3:Chantale-canc Disc_2022
MAF	CD4-FOXP3:Chantale-canc Disc_2022
SLC38A2	CD4-FOXP3:Chantale-canc Disc_2022
HIST1H1C	CD4-FOXP3:Chantale-canc Disc_2022
KAT2B	CD4-FOXP3:Chantale-canc Disc_2022
ITGB2	CD4-FOXP3:Chantale-canc Disc_2022
ABI2	CD4-FOXP3:Chantale-canc Disc_2022
CD3D	CD4-FOXP3:Chantale-canc Disc_2022
CLNK	CD4-FOXP3:Chantale-canc Disc_2022
SELL	CD4-FOXP3:Chantale-canc Disc_2022
GNA15	CD4-FOXP3:Chantale-canc Disc_2022
CCR4	CD4-FOXP3:Chantale-canc Disc_2022
GOLGA8B	CD4-FOXP3:Chantale-canc Disc_2022
METTL8	CD4-FOXP3:Chantale-canc Disc_2022
SMC4	CD4-FOXP3:Chantale-canc Disc_2022
TTC39C	CD4-FOXP3:Chantale-canc Disc_2022
GLS	CD4-FOXP3:Chantale-canc Disc_2022
EIF2AK2	CD4-FOXP3:Chantale-canc Disc_2022
AL603756.1	CD4-FOXP3:Chantale-canc Disc_2022
PHIP	CD4-FOXP3:Chantale-canc Disc_2022
SELENOK	CD4-FOXP3:Chantale-canc Disc_2022
GNG8	CD4-FOXP3:Chantale-canc Disc_2022
BTN3A2	CD4-FOXP3:Chantale-canc Disc_2022
LARP7	CD4-FOXP3:Chantale-canc Disc_2022
CDK6	CD4-FOXP3:Chantale-canc Disc_2022
ZMYM2	CD4-FOXP3:Chantale-canc Disc_2022
GPR155	CD4-FOXP3:Chantale-canc Disc_2022
IL1RL1	CD4-FOXP3:Chantale-canc Disc_2022
MPHOSPH8	CD4-FOXP3:Chantale-canc Disc_2022
PHPT1	CD4-FOXP3:Chantale-canc Disc_2022
TFRC	CD4-FOXP3:Chantale-canc Disc_2022
ADD3	CD4-FOXP3:Chantale-canc Disc_2022
LAX1	CD4-FOXP3:Chantale-canc Disc_2022
SYNE2	CD4-FOXP3:Chantale-canc Disc_2022
PTP4A2	CD4-FOXP3:Chantale-canc Disc_2022
ZBP1	CD4-FOXP3:Chantale-canc Disc_2022
ATP1B1	CD4-FOXP3:Chantale-canc Disc_2022
CHN1	CD4-FOXP3:Chantale-canc Disc_2022
CBLB	CD4-FOXP3:Chantale-canc Disc_2022
TANK	CD4-FOXP3:Chantale-canc Disc_2022
CST7	CD4-FOXP3:Chantale-canc Disc_2022
PARP14	CD4-FOXP3:Chantale-canc Disc_2022
ARHGEF12	CD4-FOXP3:Chantale-canc Disc_2022
LINC01934	CD4-FOXP3:Chantale-canc Disc_2022
GBP1	CD4-FOXP3:Chantale-canc Disc_2022
CDKN1A	CD4-FOXP3:Chantale-canc Disc_2022
IDS	CD4-FOXP3:Chantale-canc Disc_2022
PLIN2	CD4-FOXP3:Chantale-canc Disc_2022
IRF4	CD4-FOXP3:Chantale-canc Disc_2022
CCL5	CD4-CXCR4:Chantale-canc Disc_2022
ZFP36L2	CD4-CXCR4:Chantale-canc Disc_2022
CXCR4	CD4-CXCR4:Chantale-canc Disc_2022
CD69	CD4-CXCR4:Chantale-canc Disc_2022
MTRNR2L12	CD4-CXCR4:Chantale-canc Disc_2022
ANXA1	CD4-CXCR4:Chantale-canc Disc_2022
IL7R	CD4-CXCR4:Chantale-canc Disc_2022
GZMA	CD4-CXCR4:Chantale-canc Disc_2022
ZFP36	CD4-CXCR4:Chantale-canc Disc_2022
LINC01871	CD4-CXCR4:Chantale-canc Disc_2022
VIM	CD4-CXCR4:Chantale-canc Disc_2022
KLRB1	CD4-CXCR4:Chantale-canc Disc_2022
FTH1	CD4-CXCR4:Chantale-canc Disc_2022
JUN	CD4-CXCR4:Chantale-canc Disc_2022
ID2	CD4-CXCR4:Chantale-canc Disc_2022
ALOX5AP	CD4-CXCR4:Chantale-canc Disc_2022
CRIP1	CD4-CXCR4:Chantale-canc Disc_2022
CD52	CD4-CXCR4:Chantale-canc Disc_2022
CD99	CD4-CXCR4:Chantale-canc Disc_2022
SH3BGRL3	CD4-CXCR4:Chantale-canc Disc_2022
BTG1	CD4-CXCR4:Chantale-canc Disc_2022
TNFAIP3	CD4-CXCR4:Chantale-canc Disc_2022
S100A11	CD4-CXCR4:Chantale-canc Disc_2022
S100A10	CD4-CXCR4:Chantale-canc Disc_2022
CAPG	CD4-CXCR4:Chantale-canc Disc_2022
KLF6	CD4-CXCR4:Chantale-canc Disc_2022
CD40LG	CD4-CXCR4:Chantale-canc Disc_2022
TSC22D3	CD4-CXCR4:Chantale-canc Disc_2022
GZMK	CD4-CXCR4:Chantale-canc Disc_2022
PARP8	CD4-CXCR4:Chantale-canc Disc_2022
CD96	CD4-CXCR4:Chantale-canc Disc_2022
CXCR6	CD4-CXCR4:Chantale-canc Disc_2022
CLEC2B	CD4-CXCR4:Chantale-canc Disc_2022
HOPX	CD4-CXCR4:Chantale-canc Disc_2022
CKLF	CD4-CXCR4:Chantale-canc Disc_2022
CITED2	CD4-CXCR4:Chantale-canc Disc_2022
DUSP1	CD4-CXCR4:Chantale-canc Disc_2022
LCP1	CD4-CXCR4:Chantale-canc Disc_2022
S100A6	CD4-CXCR4:Chantale-canc Disc_2022
IFITM2	CD4-CXCR4:Chantale-canc Disc_2022
ERN1	CD4-CXCR4:Chantale-canc Disc_2022
GPR171	CD4-CXCR4:Chantale-canc Disc_2022
LEPROTL1	CD4-CXCR4:Chantale-canc Disc_2022
DUSP2	CD4-CXCR4:Chantale-canc Disc_2022
GLUL	CD4-CXCR4:Chantale-canc Disc_2022
CCNH	CD4-CXCR4:Chantale-canc Disc_2022
GPR65	CD4-CXCR4:Chantale-canc Disc_2022
IFNGR1	CD4-CXCR4:Chantale-canc Disc_2022
HMGB1	CD4-CXCR4:Chantale-canc Disc_2022
XBP1	CD4-CXCR4:Chantale-canc Disc_2022
MCL1	CD4-CXCR4:Chantale-canc Disc_2022
DDIT4	CD4-CXCR4:Chantale-canc Disc_2022
STK17A	CD4-CXCR4:Chantale-canc Disc_2022
CEBPD	CD4-CXCR4:Chantale-canc Disc_2022
AREG	CD4-CXCR4:Chantale-canc Disc_2022
XCL1	CD4-CXCR4:Chantale-canc Disc_2022
ADGRE5	CD4-CXCR4:Chantale-canc Disc_2022
ANKRD28	CD4-CXCR4:Chantale-canc Disc_2022
YWHAQ	CD4-CXCR4:Chantale-canc Disc_2022
EVL	CD4-CXCR4:Chantale-canc Disc_2022
PAXX	CD4-CXCR4:Chantale-canc Disc_2022
LYAR	CD4-CXCR4:Chantale-canc Disc_2022
CTSW	CD4-CXCR4:Chantale-canc Disc_2022
CST7	CD4-CXCR4:Chantale-canc Disc_2022
RGCC	CD4-CXCR4:Chantale-canc Disc_2022
RGS1	CD4-CXCR4:Chantale-canc Disc_2022
PDCD4	CD4-CXCR4:Chantale-canc Disc_2022
TXNIP	CD4-CXCR4:Chantale-canc Disc_2022
TMSB4X	CD4-CXCR4:Chantale-canc Disc_2022
MGAT4A	CD4-CXCR4:Chantale-canc Disc_2022
HCST	CD4-CXCR4:Chantale-canc Disc_2022
MYH9	CD4-CXCR4:Chantale-canc Disc_2022
CD2	CD4-CXCR4:Chantale-canc Disc_2022
FAM177A1	CD4-CXCR4:Chantale-canc Disc_2022
GYG1	CD4-CXCR4:Chantale-canc Disc_2022
AHNAK	CD4-CXCR4:Chantale-canc Disc_2022
STOM	CD4-CXCR4:Chantale-canc Disc_2022
RARRES3	CD4-CXCR4:Chantale-canc Disc_2022
SLC2A3	CD4-CXCR4:Chantale-canc Disc_2022
LDHA	CD4-CXCR4:Chantale-canc Disc_2022
TGFB1	CD4-CXCR4:Chantale-canc Disc_2022
TAGAP	CD4-CXCR4:Chantale-canc Disc_2022
PDE4B	CD4-CXCR4:Chantale-canc Disc_2022
MYBL1	CD4-CXCR4:Chantale-canc Disc_2022
THEMIS	CD4-CXCR4:Chantale-canc Disc_2022
BHLHE40	CD4-CXCR4:Chantale-canc Disc_2022
NCF1	CD4-CXCR4:Chantale-canc Disc_2022
TC2N	CD4-CXCR4:Chantale-canc Disc_2022
PFKFB3	CD4-CXCR4:Chantale-canc Disc_2022
CD6	CD4-CXCR4:Chantale-canc Disc_2022
SCML4	CD4-CXCR4:Chantale-canc Disc_2022
IL2	CD4-CXCR4:Chantale-canc Disc_2022
HERPUD1	CD4-CXCR4:Chantale-canc Disc_2022
ADAM19	CD4-CXCR4:Chantale-canc Disc_2022
CTSH	CD4-CXCR4:Chantale-canc Disc_2022
CCL20	CD4-CXCR4:Chantale-canc Disc_2022
RUNX3	CD4-CXCR4:Chantale-canc Disc_2022
SRGN	CD4-CXCR4:Chantale-canc Disc_2022
LGALS3	CD4-CXCR4:Chantale-canc Disc_2022
H3F3B	CD4-CXCR4:Chantale-canc Disc_2022
TGFBR2	CD4-CXCR4:Chantale-canc Disc_2022
PTGER2	CD4-CXCR4:Chantale-canc Disc_2022
SYTL2	CD4-CXCR4:Chantale-canc Disc_2022
PDE4D	CD4-CXCR4:Chantale-canc Disc_2022
SARAF	CD4-CXCR4:Chantale-canc Disc_2022
APOBEC3H	CD4-CXCR4:Chantale-canc Disc_2022
CPNE7	CD4-CXCR4:Chantale-canc Disc_2022
TPT1	CD4-CXCR4:Chantale-canc Disc_2022
RUNX2	CD4-CXCR4:Chantale-canc Disc_2022
ITM2C	CD4-CXCR4:Chantale-canc Disc_2022
CD3D	CD4-CXCR4:Chantale-canc Disc_2022
ITGAE	CD4-CXCR4:Chantale-canc Disc_2022
CREM	CD4-CXCR4:Chantale-canc Disc_2022
PIM1	CD4-CXCR4:Chantale-canc Disc_2022
FOSB	CD4-CXCR4:Chantale-canc Disc_2022
SLF1	CD4-CXCR4:Chantale-canc Disc_2022
ITGA1	CD4-CXCR4:Chantale-canc Disc_2022
XCL2	CD4-CXCR4:Chantale-canc Disc_2022
F2R	CD4-CXCR4:Chantale-canc Disc_2022
ODF2L	CD4-CXCR4:Chantale-canc Disc_2022
OXNAD1	CD4-CXCR4:Chantale-canc Disc_2022
MATK	CD4-CXCR4:Chantale-canc Disc_2022
PTMA	CD4-CXCR4:Chantale-canc Disc_2022
TMEM173	CD4-CXCR4:Chantale-canc Disc_2022
LMO4	CD4-CXCR4:Chantale-canc Disc_2022
AC245297.3	CD4-CXCR4:Chantale-canc Disc_2022
RGS2	CD4-CXCR4:Chantale-canc Disc_2022
ZNF683	CD4-CXCR4:Chantale-canc Disc_2022
APOBEC3G	CD4-CXCR4:Chantale-canc Disc_2022
CEBPB	CD4-CXCR4:Chantale-canc Disc_2022
EEF1A1	CD4-CCR7:Chantale-canc Disc_2022
KLF2	CD4-CCR7:Chantale-canc Disc_2022
PABPC1	CD4-CCR7:Chantale-canc Disc_2022
MALAT1	CD4-CCR7:Chantale-canc Disc_2022
CCR7	CD4-CCR7:Chantale-canc Disc_2022
GIMAP7	CD4-CCR7:Chantale-canc Disc_2022
SELL	CD4-CCR7:Chantale-canc Disc_2022
TPT1	CD4-CCR7:Chantale-canc Disc_2022
TCF7	CD4-CCR7:Chantale-canc Disc_2022
TXNIP	CD4-CCR7:Chantale-canc Disc_2022
LEF1	CD4-CCR7:Chantale-canc Disc_2022
PASK	CD4-CCR7:Chantale-canc Disc_2022
LINC00861	CD4-CCR7:Chantale-canc Disc_2022
GIMAP4	CD4-CCR7:Chantale-canc Disc_2022
FCMR	CD4-CCR7:Chantale-canc Disc_2022
SARAF	CD4-CCR7:Chantale-canc Disc_2022
NOSIP	CD4-CCR7:Chantale-canc Disc_2022
FYB1	CD4-CCR7:Chantale-canc Disc_2022
EEF1G	CD4-CCR7:Chantale-canc Disc_2022
LIMD2	CD4-CCR7:Chantale-canc Disc_2022
TXK	CD4-CCR7:Chantale-canc Disc_2022
IFITM1	CD4-CCR7:Chantale-canc Disc_2022
ZRANB2	CD4-CCR7:Chantale-canc Disc_2022
PIK3IP1	CD4-CCR7:Chantale-canc Disc_2022
TTC3	CD4-CCR7:Chantale-canc Disc_2022
GPR183	CD4-CCR7:Chantale-canc Disc_2022
RIC3	CD4-CCR7:Chantale-canc Disc_2022
FTL	CD4-CCR7:Chantale-canc Disc_2022
TC2N	CD4-CCR7:Chantale-canc Disc_2022
JUNB	CD4-CCR7:Chantale-canc Disc_2022
MYC	CD4-CCR7:Chantale-canc Disc_2022
LIME1	CD4-CCR7:Chantale-canc Disc_2022
SERINC5	CD4-CCR7:Chantale-canc Disc_2022
IL6ST	CD4-CCR7:Chantale-canc Disc_2022
SESN3	CD4-CCR7:Chantale-canc Disc_2022
LINC02273	CD4-CCR7:Chantale-canc Disc_2022
HIST1H4C	CD4-CCR7:Chantale-canc Disc_2022
FOS	CD4-CCR7:Chantale-canc Disc_2022
ARMH1	CD4-CCR7:Chantale-canc Disc_2022
SNHG9	CD4-CCR7:Chantale-canc Disc_2022
BCL2A1	CD4-CCR7:Chantale-canc Disc_2022
C1orf162	CD4-CCR7:Chantale-canc Disc_2022
SATB1	CD4-CCR7:Chantale-canc Disc_2022
LTB	CD4-CCR7:Chantale-canc Disc_2022
LEPROTL1	CD4-CCR7:Chantale-canc Disc_2022
TMEM71	CD4-CCR7:Chantale-canc Disc_2022
IER2	CD4-CCR7:Chantale-canc Disc_2022
ILF3-DT	CD4-CCR7:Chantale-canc Disc_2022
BCL11B	CD4-CCR7:Chantale-canc Disc_2022
CXCL13	CD4-CXCL13:Chantale-canc Disc_2022
MT2A	CD4-CXCL13:Chantale-canc Disc_2022
SRGN	CD4-CXCL13:Chantale-canc Disc_2022
GAPDH	CD4-CXCL13:Chantale-canc Disc_2022
ITM2A	CD4-CXCL13:Chantale-canc Disc_2022
CCL4	CD4-CXCL13:Chantale-canc Disc_2022
CCL5	CD4-CXCL13:Chantale-canc Disc_2022
CD74	CD4-CXCL13:Chantale-canc Disc_2022
TMSB10	CD4-CXCL13:Chantale-canc Disc_2022
GZMB	CD4-CXCL13:Chantale-canc Disc_2022
COTL1	CD4-CXCL13:Chantale-canc Disc_2022
ALOX5AP	CD4-CXCL13:Chantale-canc Disc_2022
NKG7	CD4-CXCL13:Chantale-canc Disc_2022
NR3C1	CD4-CXCL13:Chantale-canc Disc_2022
IFITM1	CD4-CXCL13:Chantale-canc Disc_2022
HMGB2	CD4-CXCL13:Chantale-canc Disc_2022
FABP5	CD4-CXCL13:Chantale-canc Disc_2022
RBPJ	CD4-CXCL13:Chantale-canc Disc_2022
IFITM2	CD4-CXCL13:Chantale-canc Disc_2022
GZMA	CD4-CXCL13:Chantale-canc Disc_2022
H2AFZ	CD4-CXCL13:Chantale-canc Disc_2022
PDCD1	CD4-CXCL13:Chantale-canc Disc_2022
SH3BGRL3	CD4-CXCL13:Chantale-canc Disc_2022
FKBP5	CD4-CXCL13:Chantale-canc Disc_2022
