Genes	Subtype
TUBB2B	Dysfunc CD8:AziziLabs
PARP3	Dysfunc CD8:AziziLabs
PIGH	Dysfunc CD8:AziziLabs
BRAP	Dysfunc CD8:AziziLabs
CD19	Dysfunc CD8:AziziLabs
IL2RG	Dysfunc CD8:AziziLabs
SNTB1	Dysfunc CD8:AziziLabs
KDM5B	Dysfunc CD8:AziziLabs
UTP15	Dysfunc CD8:AziziLabs
LATS2	Dysfunc CD8:AziziLabs
RASSF2	Dysfunc CD8:AziziLabs
IFI30	Dysfunc CD8:AziziLabs
KDM4B	Dysfunc CD8:AziziLabs
IER5	Dysfunc CD8:AziziLabs
CD5	Dysfunc CD8:AziziLabs
MNDAL	Dysfunc CD8:AziziLabs
PCGF5	Dysfunc CD8:AziziLabs
GPR35	Dysfunc CD8:AziziLabs
SPRY1	Dysfunc CD8:AziziLabs
TNIP1	Dysfunc CD8:AziziLabs
CSNK1D	Dysfunc CD8:AziziLabs
NSMCE1	Dysfunc CD8:AziziLabs
NR4A1	Dysfunc CD8:AziziLabs
OSBPL11	Dysfunc CD8:AziziLabs
PNRC1	Dysfunc CD8:AziziLabs
ITGAE	Dysfunc CD8:AziziLabs
SNX18	Dysfunc CD8:AziziLabs
TMEM55B	Dysfunc CD8:AziziLabs
IKZF2	Dysfunc CD8:AziziLabs
ISCU	Dysfunc CD8:AziziLabs
FAM196B	Dysfunc CD8:AziziLabs
TMEM243	Dysfunc CD8:AziziLabs
ZFP62	Dysfunc CD8:AziziLabs
RASGEF1B	Dysfunc CD8:AziziLabs
DTWD1	Dysfunc CD8:AziziLabs
GNA13	Dysfunc CD8:AziziLabs
JAK2	Dysfunc CD8:AziziLabs
EIF3F	Dysfunc CD8:AziziLabs
CCR7	Dysfunc CD8:AziziLabs
SGPP1	Dysfunc CD8:AziziLabs
SLAMF7	Dysfunc CD8:AziziLabs
QRICH1	Dysfunc CD8:AziziLabs
EML4	Dysfunc CD8:AziziLabs
CACNB3	Dysfunc CD8:AziziLabs
CD3G	Terminal exhaustion:AziziLabs
FASLG	Terminal exhaustion:AziziLabs
ID2	Terminal exhaustion:AziziLabs
LAG3	Terminal exhaustion:AziziLabs
RGS1	Terminal exhaustion:AziziLabs
CCL3 CCL3L1	Terminal exhaustion:AziziLabs
KIAA1671	Terminal exhaustion:AziziLabs
SH2D2A	Terminal exhaustion:AziziLabs
DUSP2	Terminal exhaustion:AziziLabs
PDCD1	Terminal exhaustion:AziziLabs
CD7	Terminal exhaustion:AziziLabs
NR4A2	Terminal exhaustion:AziziLabs
CD160	Terminal exhaustion:AziziLabs
PTPN22	Terminal exhaustion:AziziLabs
ABI3	Terminal exhaustion:AziziLabs
PTGER4	Terminal exhaustion:AziziLabs
GZMK	Terminal exhaustion:AziziLabs
GZMA	Terminal exhaustion:AziziLabs
MBNL1	Terminal exhaustion:AziziLabs
VMP1	Terminal exhaustion:AziziLabs
PLAC8	Terminal exhaustion:AziziLabs
RGS3	Terminal exhaustion:AziziLabs
EFHD2	Terminal exhaustion:AziziLabs
GLRX	Terminal exhaustion:AziziLabs
CXCR6	Terminal exhaustion:AziziLabs
ARL6IP1	Terminal exhaustion:AziziLabs
CCL4	Terminal exhaustion:AziziLabs
ISG15	Terminal exhaustion:AziziLabs
LAX1	Terminal exhaustion:AziziLabs
CD8A	Terminal exhaustion:AziziLabs
SERPINA3	Terminal exhaustion:AziziLabs
GNLY	NK:AziziLabs
XCL1	NK:AziziLabs
XCL2	NK:AziziLabs
AREG	NK:AziziLabs
KLRD1	NK:AziziLabs
NKG7	NK:AziziLabs
TRDC	NK:AziziLabs
KLRC1	NK:AziziLabs
GZMB	NK:AziziLabs
CTSW	NK:AziziLabs
KLRB1	NK:AziziLabs
CD7	NK:AziziLabs
HOPX	NK:AziziLabs
CCL5	NK:AziziLabs
CD69	NK:AziziLabs
CMC1	NK:AziziLabs
GZMA	NK:AziziLabs
IL2RB	NK:AziziLabs
CCL4	NK:AziziLabs
DUSP2	NK:AziziLabs
REL	NK:AziziLabs
ZNF683	NK:AziziLabs
SRGN	NK:AziziLabs
SYTL3	NK:AziziLabs
TNFRSF18	NK:AziziLabs
CST7	NK:AziziLabs
MATK	NK:AziziLabs
LDLRAD4	NK:AziziLabs
FCER1G	NK:AziziLabs
PRF1	NK:AziziLabs
KLRF1	NK:AziziLabs
KRT86	NK:AziziLabs
CRTAM	NK:AziziLabs
CD80	cDC:AziziLabs
CD86	cDC:AziziLabs
CCR7	cDC:AziziLabs
CD1A	cDC:AziziLabs
CD1C	cDC:AziziLabs
CD11b	cDC:AziziLabs
CD11C	cDC:AziziLabs
CD14	cDC:AziziLabs
CD16	cDC:AziziLabs
CD40	cDC:AziziLabs
CD83	cDC:AziziLabs
CD123	cDC:AziziLabs
CD141	cDC:AziziLabs
CX3CR1	cDC:AziziLabs
CD209	cDC:AziziLabs
EpCAM	cDC:AziziLabs
HLA-DR	cDC:AziziLabs
CD207	cDC:AziziLabs
CD172A	cDC:AziziLabs
XCR1	cDC:AziziLabs
TCF7	Na夫e T cells:Lee et al 2020
SELL	Na夫e T cells:Lee et al 2020
LEF1	Na夫e T cells:Lee et al 2020
CCR7	Na夫e T cells:Lee et al 2020
LAG3	Exhausted T cells:Lee et al 2020
TIGIT	Exhausted T cells:Lee et al 2020
PDCP1	Exhausted T cells:Lee et al 2020
HAVCR2	Exhausted T cells:Lee et al 2020
CTLA4	Exhausted T cells:Lee et al 2020
IL2	Cytotoxic T cells:Lee et al 2020
GZMA	Cytotoxic T cells:Lee et al 2020
GNLY	Cytotoxic T cells:Lee et al 2020
PRF1	Cytotoxic T cells:Lee et al 2020
GZMB	Cytotoxic T cells:Lee et al 2020
GZMK	Cytotoxic T cells:Lee et al 2020
IFNG	Cytotoxic T cells:Lee et al 2020
NKG7	Cytotoxic T cells:Lee et al 2020
CD28	Co-stimulatory T cells:Lee et al 2020
TNFRSF14	Co-stimulatory T cells:Lee et al 2020
ICOS	Co-stimulatory T cells:Lee et al 2020
TNFRSF9	Co-stimulatory T cells:Lee et al 2020
IL2R	Regulatory T cells:Lee et al 2020
FOXP3	Regulatory T cells:Lee et al 2020
IKZF2	Regulatory T cells:Lee et al 2020
IL4R	Regulatory T cells:Lee et al 2020
TGFB1	Regulatory T cells:Lee et al 2020
TGFB3	Regulatory T cells:Lee et al 2020
TGFBI	Regulatory T cells:Lee et al 2020
TGFBR1	Regulatory T cells:Lee et al 2020
TRGC1	Y-Delta T cells:Lee et al 2020
TRGC2	Y-Delta T cells:Lee et al 2020
TRDC	Y-Delta T cells:Lee et al 2020
IL17A	TH17 T cells:Lee et al 2020
IL17F	TH17 T cells:Lee et al 2020
IL22	TH17 T cells:Lee et al 2020
CCR6	TH17 T cells:Lee et al 2020
KLRB1	TH17 T cells:Lee et al 2020
RORA	TH17 T cells:Lee et al 2020
STAT4	Th1-Like T cells:Lee et al 2020
IL12RB2	Th1-Like T cells:Lee et al 2020
IFNG	Th1-Like T cells:Lee et al 2020
GATA3	Th2-Like T cells:Lee et al 2020
STAT6	Th2-Like T cells:Lee et al 2020
IL4R	Th2-Like T cells:Lee et al 2020
MAF	Tfh cells:Lee et al 2020
CXCL13	Tfh cells:Lee et al 2020
CXCR5	Tfh cells:Lee et al 2020
PDCD1	Tfh cells:Lee et al 2020
XCL1	NK:Lee et al 2020
FCGR3A	NK:Lee et al 2020
KLRD1	NK:Lee et al 2020
KLRF1	NK:Lee et al 2020
MKI67	Proliferative T cells :Lee et al 2020
PCNA	Proliferative T cells :Lee et al 2020
CD1C	"Dendritic cells:Chen et al, Bladder paper"
CLEC10A	"Dendritic cells:Chen et al, Bladder paper"
CCR7	"Dendritic cells:Chen et al, Bladder paper"
CD8	Naive CD8+ T cells:SCTyper
CD2	Naive CD8+ T cells:SCTyper
CD3D	Naive CD8+ T cells:SCTyper
CD3E	Naive CD8+ T cells:SCTyper
CD3G	Naive CD8+ T cells:SCTyper
CD3Z	Naive CD8+ T cells:SCTyper
CD45RA	Naive CD8+ T cells:SCTyper
CD62L	Naive CD8+ T cells:SCTyper
CD27	Naive CD8+ T cells:SCTyper
CD127	Naive CD8+ T cells:SCTyper
FOXP3	Naive CD8+ T cells:SCTyper
CCR7	Naive CD8+ T cells:SCTyper
CD45	Naive CD8+ T cells:SCTyper
CD8A	Naive CD8+ T cells:SCTyper
CD8B	Naive CD8+ T cells:SCTyper
CCR6	Naive CD8+ T cells:SCTyper
CD11b	Naive CD8+ T cells:SCTyper
CD30	Naive CD8+ T cells:SCTyper
CD6	Naive CD8+ T cells:SCTyper
CTLA4	Naive CD8+ T cells:SCTyper
IL2RA	Naive CD8+ T cells:SCTyper
GZMB	Naive CD8+ T cells:SCTyper
PTPRC	Naive CD8+ T cells:SCTyper
